record_id,company_name,industry,country,company_size,month,year,layoffs_count,layoff_percentage,reason_for_layoffs,ai_replacement_risk,remote_jobs_percentage,top_hiring_role,salary_budget_change,ai_adoption_level,job_security_score,market_condition
T113,Airbnb,Gaming,USA,Big Tech,Aug,2026,1692,8.0,Market Slowdown,5.0,42.0,ML Engineer,-0.4,3.6,7.4,Bull Market
T114,Anthropic,Social Media,UK,Big Tech,Apr,2025,2459,14.5,Overhiring Correction,6.4,74.5,DevOps Engineer,17.5,2.7,6.8,Stable
T115,Apple,E-Commerce,India,Mid-size,Jul,2025,520,6.5,Overhiring Correction,10.0,54.5,Cloud Engineer,24.5,9.0,7.1,Bull Market
T116,Spotify,Gaming,USA,Enterprise,Oct,2026,4040,21.6,Restructuring,10.0,27.3,Cloud Engineer,11.5,7.9,4.2,Recession
T117,Apple,E-Commerce,Canada,Big Tech,Sep,2026,6752,2.0,Restructuring,4.3,42.3,Cybersecurity Analyst,25.0,4.5,7.2,Stable
T118,SAP,FinTech,India,Mid-size,Apr,2025,11793,37.0,AI Automation,10.0,25.3,Frontend Developer,-13.9,7.5,1.6,Recession
T119,Salesforce,Social Media,Germany,Big Tech,Aug,2024,3710,11.9,Cost Cutting,10.0,46.5,ML Engineer,0.7,8.2,4.9,Stable
T120,Anthropic,Cybersecurity,UK,Startup,Sep,2025,761,10.6,AI Automation,5.6,23.6,Data Scientist,6.8,4.0,8.1,Stable
T121,Apple,E-Commerce,Singapore,Mid-size,May,2025,236,1.2,Overhiring Correction,3.9,53.2,DevOps Engineer,5.3,5.3,7.2,Bull Market
T122,NVIDIA,Social Media,USA,Enterprise,Jun,2026,10715,30.7,Restructuring,10.0,40.5,Frontend Developer,8.8,8.4,4.4,Recession
T123,Palantir,AI,Canada,Startup,Apr,2026,261,9.2,AI Automation,10.0,84.4,Data Scientist,12.2,8.9,5.9,Bull Market
T124,Oracle,AI,Singapore,Startup,Dec,2025,5143,14.9,AI Automation,5.8,37.7,ML Engineer,10.2,8.1,7.5,Stable
T125,Meta,FinTech,USA,Enterprise,Jul,2024,1233,16.3,Cost Cutting,9.5,63.3,Cybersecurity Analyst,-0.3,5.4,5.6,Stable
T126,Anthropic,E-Commerce,Canada,Mid-size,Feb,2026,91,3.1,Restructuring,1.0,10.0,ML Engineer,0.2,2.1,7.1,Bull Market
T127,Databricks,Social Media,India,Big Tech,Apr,2025,4850,32.1,Market Slowdown,8.5,21.4,ML Engineer,-10.9,2.9,2.6,Recession
T128,SAP,FinTech,Singapore,Startup,Nov,2026,2248,11.5,Cost Cutting,10.0,67.9,Cloud Engineer,10.9,10.0,5.7,Stable
T129,Amazon,E-Commerce,UK,Enterprise,Dec,2025,7140,32.6,Restructuring,8.8,73.2,Frontend Developer,-9.7,2.6,3.4,Recession
T130,Adobe,Cloud,Germany,Big Tech,Jul,2026,2385,0.6,Market Slowdown,5.0,46.4,Product Manager,2.8,6.7,7.9,Bull Market
T131,Stripe,FinTech,Singapore,Enterprise,May,2024,1768,6.1,Overhiring Correction,7.8,86.4,Frontend Developer,13.0,5.3,7.5,Bull Market
T132,Meta,Cybersecurity,Singapore,Big Tech,Oct,2025,2379,8.8,Cost Cutting,4.8,28.2,Product Manager,10.1,1.3,7.5,Stable
T133,Uber,Cybersecurity,UK,Mid-size,Nov,2026,4456,10.3,AI Automation,4.6,41.0,Data Scientist,29.5,1.4,7.5,Recession
T134,Adobe,Gaming,Germany,Startup,Dec,2024,9964,29.1,AI Automation,7.5,51.2,Cybersecurity Analyst,0.9,4.7,2.4,Recession
T135,Adobe,FinTech,Singapore,Big Tech,Mar,2026,1613,0.7,Market Slowdown,5.0,20.0,Product Manager,16.4,3.3,7.7,Bull Market
T136,Anthropic,Cybersecurity,UK,Mid-size,May,2026,621,6.8,Market Slowdown,2.6,45.2,DevOps Engineer,-10.2,2.4,7.4,Stable
T137,Microsoft,E-Commerce,USA,Mid-size,Sep,2025,2169,8.2,AI Automation,10.0,70.4,Frontend Developer,21.2,6.8,5.6,Bull Market
T138,NVIDIA,AI,UK,Startup,Nov,2026,4430,5.6,Market Slowdown,6.8,17.3,Data Scientist,-6.8,5.9,6.2,Stable
T139,Stripe,E-Commerce,Singapore,Enterprise,Aug,2024,514,3.0,Overhiring Correction,10.0,70.9,Product Manager,-11.8,7.7,6.0,Bull Market
T140,Palantir,FinTech,Canada,Mid-size,Nov,2025,11047,33.6,Market Slowdown,9.7,59.2,Data Scientist,-0.3,1.9,4.0,Recession
T141,Oracle,AI,India,Startup,Aug,2024,1997,2.0,AI Automation,7.1,77.4,Data Scientist,-4.4,8.5,6.5,Bull Market
T142,Airbnb,Cybersecurity,India,Big Tech,Nov,2026,1928,12.3,Overhiring Correction,2.6,73.5,Cybersecurity Analyst,7.0,3.0,6.9,Stable
T143,Oracle,Cybersecurity,Singapore,Mid-size,Aug,2026,3047,1.9,Restructuring,7.5,76.0,Data Scientist,-8.8,6.1,6.1,Stable
T144,Spotify,AI,Singapore,Enterprise,Aug,2024,2066,4.4,Market Slowdown,7.3,39.7,Data Scientist,23.5,8.1,6.7,Bull Market
T145,Microsoft,Social Media,UK,Enterprise,May,2024,659,7.9,AI Automation,9.0,69.2,Frontend Developer,19.8,6.7,6.5,Bull Market
T146,SAP,AI,Singapore,Mid-size,Jan,2025,3757,24.6,Cost Cutting,10.0,79.8,ML Engineer,12.2,6.3,4.1,Recession
T147,Apple,Gaming,Canada,Mid-size,Oct,2024,1009,9.1,Cost Cutting,1.0,58.8,Product Manager,19.6,1.7,6.9,Bull Market
T148,Salesforce,Gaming,India,Startup,Mar,2026,1343,5.7,Market Slowdown,7.5,70.8,ML Engineer,-8.0,3.5,4.5,Stable
T149,Netflix,AI,Singapore,Startup,Jun,2024,1464,3.5,Overhiring Correction,10.0,63.1,ML Engineer,16.4,9.2,6.8,Bull Market
T150,Salesforce,AI,India,Enterprise,Dec,2025,2361,9.8,Overhiring Correction,10.0,34.7,ML Engineer,-12.5,7.6,4.6,Bull Market
T151,Microsoft,Social Media,USA,Big Tech,Sep,2026,697,10.5,AI Automation,4.6,15.4,Cybersecurity Analyst,-10.3,1.8,4.8,Stable
T152,SAP,Cybersecurity,India,Startup,Aug,2026,14368,29.4,AI Automation,10.0,33.2,Cloud Engineer,7.6,9.5,3.2,Recession
T153,Meta,E-Commerce,Germany,Big Tech,Aug,2026,19708,13.3,Restructuring,7.9,20.1,Data Scientist,5.7,4.1,5.5,Recession
T154,Amazon,AI,UK,Mid-size,May,2026,2113,0.7,Overhiring Correction,8.8,18.4,ML Engineer,11.2,6.0,5.8,Bull Market
T155,Palantir,Social Media,UK,Big Tech,Aug,2026,19939,33.4,Overhiring Correction,10.0,25.7,Cloud Engineer,-0.8,5.7,3.3,Recession
T156,Oracle,AI,Singapore,Startup,Jul,2025,1282,16.9,Cost Cutting,4.9,39.1,ML Engineer,3.7,4.3,6.1,Recession
T157,Oracle,FinTech,Germany,Big Tech,Jun,2025,6126,9.6,Market Slowdown,5.8,68.0,Data Scientist,24.6,2.1,8.0,Stable
T158,Spotify,FinTech,India,Big Tech,Feb,2024,2243,7.2,Restructuring,3.4,78.7,Data Scientist,9.2,1.8,8.3,Bull Market
T159,Microsoft,Social Media,Singapore,Enterprise,Oct,2026,1249,8.2,Overhiring Correction,5.8,17.0,Software Engineer,25.7,5.1,7.8,Bull Market
T160,Salesforce,Social Media,USA,Big Tech,Dec,2024,995,7.0,Market Slowdown,8.1,12.5,Frontend Developer,-8.9,4.9,5.1,Stable
T161,Databricks,FinTech,UK,Startup,Mar,2026,4830,16.9,Restructuring,10.0,38.8,Product Manager,7.4,6.9,4.1,Recession
T162,Airbnb,Gaming,USA,Enterprise,Feb,2025,19171,29.3,Overhiring Correction,10.0,23.5,Cybersecurity Analyst,-9.3,8.3,2.7,Recession
T163,Airbnb,Gaming,Germany,Startup,Jan,2024,9787,8.6,Market Slowdown,7.9,78.7,Cloud Engineer,23.3,8.2,7.7,Recession
T164,Adobe,FinTech,UK,Startup,Oct,2026,1659,8.3,Restructuring,10.0,19.6,ML Engineer,-5.8,7.5,5.2,Bull Market
T165,Amazon,Cloud,Singapore,Startup,Jul,2025,2381,7.4,Restructuring,5.3,81.4,Product Manager,2.7,1.7,6.2,Bull Market
T166,Salesforce,Cloud,UK,Enterprise,Oct,2026,2492,24.7,AI Automation,10.0,17.5,Cybersecurity Analyst,23.4,10.0,4.9,Recession
T167,Meta,Cloud,India,Startup,May,2025,7581,21.9,Restructuring,10.0,23.6,Data Scientist,15.5,4.9,4.3,Recession
T168,OpenAI,Cybersecurity,Germany,Big Tech,Sep,2024,6319,9.3,Market Slowdown,6.8,88.7,Product Manager,9.1,3.1,7.4,Stable
T169,Oracle,AI,UK,Big Tech,Jan,2024,14778,16.9,Restructuring,10.0,58.9,Data Scientist,-2.8,9.2,4.3,Recession
T170,Databricks,AI,USA,Mid-size,Mar,2025,5087,5.8,Market Slowdown,1.3,13.6,ML Engineer,5.0,1.3,7.9,Stable
T171,Salesforce,AI,USA,Big Tech,Mar,2024,5492,29.6,Restructuring,10.0,41.6,Data Scientist,19.3,6.2,4.2,Recession
T172,Palantir,Social Media,India,Enterprise,Dec,2024,2150,9.5,Restructuring,10.0,30.6,Frontend Developer,7.0,8.4,6.0,Bull Market
T173,Google,E-Commerce,USA,Enterprise,Oct,2025,2774,21.4,Restructuring,5.1,70.0,Frontend Developer,15.5,4.3,5.7,Recession
T174,Adobe,AI,Germany,Startup,Oct,2025,6956,11.4,Market Slowdown,3.5,15.3,ML Engineer,-13.5,2.2,5.4,Stable
T175,Amazon,E-Commerce,USA,Mid-size,Sep,2024,5576,3.1,Restructuring,6.8,15.4,Frontend Developer,-2.6,6.2,7.3,Stable
T176,Adobe,Social Media,UK,Mid-size,Feb,2026,3535,14.6,AI Automation,10.0,17.9,ML Engineer,-8.1,6.3,4.8,Stable
T177,Anthropic,Cybersecurity,India,Enterprise,Apr,2024,3080,12.0,Cost Cutting,10.0,61.7,ML Engineer,-10.2,5.6,4.6,Stable
T178,Spotify,Cloud,India,Mid-size,Mar,2026,1929,34.9,Restructuring,10.0,21.2,Data Scientist,9.3,6.5,2.1,Recession
T179,SAP,Gaming,Canada,Big Tech,Nov,2025,7591,21.3,Cost Cutting,3.9,33.1,Cybersecurity Analyst,13.1,1.3,7.0,Recession
T180,SAP,AI,Germany,Big Tech,May,2026,19800,10.8,AI Automation,5.8,37.2,Data Scientist,10.6,8.4,7.1,Recession
